State, rank30, STATE, 0.014537, 0.014538, 0.000001, 0.000000, MPI_Comm_size
State, rank30, STATE, 0.014619, 0.050893, 0.036274, 0.000000, MPI_Scatter
State, rank30, STATE, 0.050895, 0.213131, 0.162236, 0.000000, MPI_Bcast
State, rank30, STATE, 1.452586, 1.454727, 0.002141, 0.000000, MPI_Gather
State, rank30, STATE, 1.454952, 2.817971, 1.363019, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00945258, 2.81767, 2.80822, rank3
State, rank3, STATE, 0.009453, 0.009454, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.009454, 0.009454, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.009496, 0.041562, 0.032065, 0.000000, MPI_Scatter
State, rank3, STATE, 0.041564, 0.145005, 0.103441, 0.000000, MPI_Bcast
State, rank3, STATE, 1.377271, 1.378075, 0.000804, 0.000000, MPI_Gather
State, rank3, STATE, 1.378259, 2.817672, 1.439412, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0140345, 2.82007, 2.80604, rank29
State, rank29, STATE, 0.014036, 0.014036, 0.000001, 0.000000, MPI_Comm_rank
State, rank29, STATE, 0.014037, 0.014038, 0.000001, 0.000000, MPI_Comm_size
State, rank29, STATE, 0.014112, 0.050520, 0.036407, 0.000000, MPI_Scatter
State, rank29, STATE, 0.050521, 0.198228, 0.147707, 0.000000, MPI_Bcast
State, rank29, STATE, 1.004631, 1.005170, 0.000540, 0.000000, MPI_Gather
State, rank29, STATE, 1.005392, 2.820071, 1.814679, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0104332, 2.82064, 2.81021, rank28
State, rank28, STATE, 0.010435, 0.010435, 0.000000, 0.000000, MPI_Comm_rank
State, rank28, STATE, 0.010436, 0.010437, 0.000001, 0.000000, MPI_Comm_size
State, rank28, STATE, 0.010512, 0.050136, 0.039624, 0.000000, MPI_Scatter
State, rank28, STATE, 0.050137, 0.215400, 0.165263, 0.000000, MPI_Bcast
State, rank28, STATE, 1.721138, 1.723841, 0.002703, 0.000000, MPI_Gather
State, rank28, STATE, 1.723984, 2.820641, 1.096658, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00325966, 2.82028, 2.81702, rank27
State, rank27, STATE, 0.003260, 0.003261, 0.000000, 0.000000, MPI_Comm_rank
State, rank27, STATE, 0.003261, 0.003262, 0.000001, 0.000000, MPI_Comm_size
State, rank27, STATE, 0.003303, 0.049769, 0.046466, 0.000000, MPI_Scatter
State, rank27, STATE, 0.049771, 0.190903, 0.141132, 0.000000, MPI_Bcast
State, rank27, STATE, 1.639926, 1.640712, 0.000786, 0.000000, MPI_Gather
State, rank27, STATE, 1.640972, 2.820278, 1.179306, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0149999, 2.81966, 2.80466, rank26
State, rank26, STATE, 0.015001, 0.015001, 0.000000, 0.000000, MPI_Comm_rank
State, rank26, STATE, 0.015001, 0.015002, 0.000001, 0.000000, MPI_Comm_size
State, rank26, STATE, 0.015050, 0.049242, 0.034193, 0.000000, MPI_Scatter
State, rank26, STATE, 0.049243, 0.173383, 0.124140, 0.000000, MPI_Bcast
